Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
1214931570,"Oct 4, 2017, 3:01:49 PM",Twin peaks attempt #1,Run,,2128,6.50,,,false,,,activities/1214931570.gpx,72.57479858398438,,2128.0,2041.0,6503.2998046875,14.0,,146.1417999267578,182.14199829101562,8.0,114.5,46.400001525878906,-0.5535650849342346,,,,,,,,,642.0059204101562,,,,,,,,,,,,,,,,0.0,,,7199.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1221894352,"Oct 8, 2017, 8:21:34 PM",El paraiso,Ride,,20431,87.50,,,false,,,activities/1221894352.gpx,72.57479858398438,,20431.0,17439.0,87505.203125,14.100000381469727,,768.8631591796875,770.3629760742188,0.0,102.0,44.29999923706055,-0.0017141838325187564,,,,,,,,90.55622100830078,1760.8187255859375,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703.0999755859375,,,,,,,,,,,,""
1232392563,"Oct 15, 2017, 7:44:07 PM",Marin loop,Ride,,9944,47.71,,,false,,,activities/1232392563.gpx,72.57479858398438,,9944.0,9317.0,47711.69921875,13.199999809265137,,527.4517211914062,527.2520141601562,0.0,247.89999389648438,18.600000381469727,0.0004191843909211457,,,,,,,,102.36925506591797,1063.455810546875,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0999984741211,,,,,,,,,,,,""
1239035808,"Oct 20, 2017, 3:31:36 PM",Around 1010,Run,,1439,5.14,,,false,,,activities/1239035808.gpx,72.57479858398438,,1439.0,1428.0,5141.39990234375,5.900000095367432,,48.32033157348633,63.720298767089844,3.799999952316284,50.0,17.299999237060547,-0.2995293140411377,,,,,,,,,465.91064453125,,,,,,,,,,,,,,,,0.0,,,5224.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1244895153,"Oct 24, 2017, 3:16:43 PM",ATT,Run,,3300,10.13,,,false,,,activities/1244895153.gpx,72.57479858398438,,3300.0,3035.0,10137.2001953125,9.899999618530273,,56.41214370727539,73.11209869384766,0.0,50.70000076293945,18.5,-0.16473977267742157,,,,,,,,,914.5042114257812,,,,,,,,,,,,,,,,0.0,,,10255.599609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,""
1247804523,"Oct 26, 2017, 2:48:41 PM",ATT,Run,,3215,10.47,,,false,,,activities/1247804523.gpx,72.57479858398438,,3215.0,3071.0,10472.900390625,12.800000190734863,,59.77080154418945,75.1707992553711,0.0,56.0,17.200000762939453,-0.14704617857933044,,,,,,,,,947.15869140625,,,,,,,,,,,,,,,,0.0,,,10621.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.19999694824219,,,,,,,,,,,,""
1265486473,"Nov 7, 2017, 4:03:37 PM",ATT,Run,,2969,10.55,,,false,,,activities/1265486473.gpx,72.57479858398438,,2969.0,2942.0,10554.400390625,9.899999618530273,,53.79611587524414,71.29609680175781,0.0,50.5,18.700000762939453,-0.16580761969089508,,,,,,,,,950.6542358398438,,,,,,,,,,,,,,,,0.0,,,10661.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.19999694824219,,,,,,,,,,,,""
1266695699,"Nov 8, 2017, 3:08:22 PM",ATT,Run,,2843,10.57,,,false,,,activities/1266695699.gpx,72.57479858398438,,2843.0,2762.0,10574.2001953125,9.800000190734863,,57.17744445800781,68.67739868164062,0.0,50.20000076293945,40.70000076293945,-0.10875527560710907,,,,,,,,,954.8541870117188,,,,,,,,,,,,,,,,0.0,,,10708.099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.30000305175781,,,,,,,,,,,,""
1283375921,"Nov 20, 2017, 3:20:27 PM",ATT,Run,,3067,10.28,,,false,,,activities/1283375921.gpx,72.57479858398438,,3067.0,2742.0,10283.099609375,13.0,,55.413333892822266,75.01329803466797,0.0,56.20000076293945,21.200000762939453,-0.19060400128364563,,,,,,,,,930.63525390625,,,,,,,,,,,,,,,,0.0,,,10436.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5999984741211,,,,,,,,,,,,""
1296746218,"Nov 30, 2017, 3:15:14 PM",Demasiadas tapas,Run,,3341,10.90,,,false,,,activities/1296746218.gpx,72.57479858398438,,3341.0,3296.0,10903.7001953125,6.400000095367432,,79.2706069946289,95.67060089111328,1.600000023841858,50.29999923706055,38.5,-0.15040765702724457,,,,,,,,,988.8729858398438,,,,,,,,,,,,,,,,0.0,,,11089.599609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1301758889,"Dec 4, 2017, 1:10:49 PM",MX con filipinho ,Run,,2288,5.06,,,false,,,activities/1301758889.gpx,72.57479858398438,,2288.0,2185.0,5064.60009765625,7.699999809265137,,29.024200439453125,,2241.300048828125,2251.800048828125,17.200000762939453,-0.029617300257086754,,,,,,,,,461.2469787597656,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1304384712,"Dec 6, 2017, 1:13:15 PM",MX con raimundinho,Run,,2097,4.76,,,false,,,activities/1304384712.gpx,72.57479858398438,,2097.0,1708.0,4764.5,5.599999904632568,,25.54509925842285,,2241.699951171875,2249.60009765625,12.699999809265137,-0.04197710007429123,,,,,,,,,430.77716064453125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1311583809,"Dec 12, 2017, 3:30:24 PM",mmm,Run,,3720,12.85,,,false,,,activities/1311583809.gpx,72.57479858398438,,3720.0,3646.0,12855.900390625,17.799999237060547,,72.71273803710938,89.4126968383789,1.7000000476837158,50.70000076293945,18.100000381469727,-0.1299014389514923,,,,,,,,,1158.0574951171875,,,,,,,,,,,,,,,,0.0,,,12986.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1323524892,"Dec 22, 2017, 10:55:02 PM",cactuses y lagartijas,Run,,3064,10.22,,,false,,,activities/1323524892.gpx,72.57479858398438,,3064.0,3059.0,10223.2998046875,6.400000095367432,,111.29900360107422,,748.7000122070312,833.7999877929688,14.899999618530273,0.053798701614141464,,,,,,,,,928.4595336914062,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1341355845,"Jan 5, 2018, 1:17:30 AM",lloviendo,Run,,1542,5.14,,,false,,,activities/1341355845.gpx,72.57479858398438,,1542.0,1395.0,5144.2001953125,5.300000190734863,,8.319140434265137,,0.8999999761581421,8.199999809265137,5.0,-0.027215100824832916,,,,,,,,,459.7667236328125,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
1362603342,"Jan 18, 2018, 3:58:52 AM",quemando gummies,Run,,1855,6.51,,,false,,,activities/1362603342.gpx,72.57479858398438,,1855.0,1855.0,6514.39990234375,8.800000190734863,,52.006961822509766,68.70700073242188,2.0,50.20000076293945,18.200000762939453,-0.2563551664352417,,,,,,,,,589.53759765625,,,,,,,,,,,,,,,,0.0,,,6611.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,""
1364791296,"Jan 19, 2018, 4:09:57 PM",salió el sol?,Run,,2733,9.03,,,false,,,activities/1364791296.gpx,72.57479858398438,,2733.0,2479.0,9037.900390625,7.699999809265137,,49.58345413208008,66.78350067138672,1.5,51.20000076293945,18.399999618530273,-0.19030968844890594,,,,,,,,,814.8554077148438,,,,,,,,,,,,,,,,0.0,,,9138.099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,media/02041af3-d37a-433f-ae68-c36179dd4e3e.jpg
